id	child_id	statement	text
1824	1821	The American Health Care Reform Act of 2017 (H.R.277) is an improvement over The Affordable Care Act	The GOP healthcare plan is shorter
1824	1822	The American Health Care Reform Act of 2017 (H.R.277) is an improvement over The Affordable Care Act	Shorter legislation is less complicated
1824	1823	The American Health Care Reform Act of 2017 (H.R.277) is an improvement over The Affordable Care Act	Shorter legislation means less government involvement
1776	1774	The Virginia Slave Codes of 1705 codified male slave-owners raping their female slaves	The Virginia Slave Codes of 1705 had no punishment for a man having a child with a person of African descent
1776	1775	The Virginia Slave Codes of 1705 codified male slave-owners raping their female slaves	The Virginia Slave Codes of 1705 punished a white woman for having a child with a person of African descent
1737	1735	Texas's voter ID laws favor republicans	Texas allows a voter to use a concealed gun license but not a student ID
1737	1736	Texas's voter ID laws favor republicans	Gun owners skew republican while students skew democrat
1706	1704	As US Attorney, Jeff Sessions ignored black disenfranchisement, but then prosecuted people trying to help disenfranchised voters complete ballots	As a US Attorney, Jeff Sessions ignored black disenfranchisement in Alabama
1706	1705	As US Attorney, Jeff Sessions ignored black disenfranchisement, but then prosecuted people trying to help disenfranchised voters complete ballots	As US Attorney in Alabama, Jeff Sessions managed a case that argued that changing ballots to help elderly and illiterate voters was voter fraud
1673	1670	Avast sends personally identifiable information for users of its free anti-virus to marketing analytis company Jumpshot	Avast sends browsing behavior for users of its free anti-virus to marketing analytics company Jumpshot
1673	1671	Avast sends personally identifiable information for users of its free anti-virus to marketing analytis company Jumpshot	The browsing data Avast sends Jumpshot includes URL (link)
1673	1672	Avast sends personally identifiable information for users of its free anti-virus to marketing analytis company Jumpshot	URLs (links) often include personally identifiable informaiton, such as email address
1641	1639	Lewis Amselem references sacrificing a young boy	Chicken sacrifice is called molek in Judaism
1641	1640	Lewis Amselem references sacrificing a young boy	"Otto Eissfeldt in 1935 argued that mlk was not to be taken as a theonym at all but as a term for a type of fire sacrifice, and that *lĕmōlek "as a molk-sacrifice" had been reinterpreted as the name of a Canaanite idol following the Deuteronomic reform under Josiah (r. 640–609 BC)." Moloch - Wikipedia
1638	1636	Lewis Amselem references sacrificing a young boy	Lewis Amselem references sacrifices to Moloch
1638	1637	Lewis Amselem references sacrificing a young boy	Chicken is a code word for a young boy
1628	1626	Hillary Clinton never questioned President Obama's U.S. birthplace	A leaked internal memo from the 2008 Clinton campaign included President Obama's birthplace as a way that he differed from many Americans
1628	1627	Hillary Clinton never questioned President Obama's U.S. birthplace	Ms. Clinton made no public statements about Mr. Obama's birthplace
1585	1583	The populist candidates of the US 2016 election will be unable to govern	US 2016 populist candidates lacked a coherent definition of their base
1585	1584	The populist candidates of the US 2016 election will be unable to govern	American populism requires a strong definition of its base to govern rather than just campaign
1582	1580	US 2016 populist candidates lacked a coherent definition of their base	Bernie Sander's campaign differs from historical American populism by lacking a coherent definition of its base
1582	1581	US 2016 populist candidates lacked a coherent definition of their base	Trump's campaign differs from historical American populism by lacking a coherent definition of "the people"
1458	1456	Alex Karp, CEO of Palantir, is somewhat schizophrenic in his support of social justice	Palantir's CEO Alex Karp believes that there should be time limits on the company's systems' retention of data
1458	1457	Alex Karp, CEO of Palantir, is somewhat schizophrenic in his support of social justice	Palantir's systems' do not have limitations on data retention by default
1310	1308	Old testament biblical law does not see a fetus as a person	Old testamaent biblical law requires that a person who kills another person be put to death
1310	1309	Old testament biblical law does not see a fetus as a person	Biblical old testament law requires that if someone cause a mother to miscarry that the person pay a fine, but does not require that the person be put to death
1267	1264	The federal government is making local and state US law enforcement agencies less capable of performing their work	The 1033 Program allows local and state U.S. law enforcement agencies to receive left-over fedreral military equipment
1267	1265	The federal government is making local and state US law enforcement agencies less capable of performing their work	Giving police officers military equipment causes them to behave like soldiers
1267	1266	The federal government is making local and state US law enforcement agencies less capable of performing their work	An increasingly paramilitarized police force is less able to do its job through community policing
1262	1259	The federal government is making local and state US law enforcement agencies more dangerous towards their public	The 1033 Program allows local and state U.S. law enforcement agencies to receive left-over fedreral military equipment
1262	1260	The federal government is making local and state US law enforcement agencies more dangerous towards their public	Giving police officers military equipment causes them to behave like soldiers
1262	1261	The federal government is making local and state US law enforcement agencies more dangerous towards their public	An increasingly paramilitarized police force is dangerous towards the public
1256	1254	The federal government is paramilitarizing local and state US law enforcement agencies	The 1033 Program allows local and state U.S. law enforcement agencies to receive left-over fedreral military equipment
1256	1255	The federal government is paramilitarizing local and state US law enforcement agencies	Giving police officers military equipment causes them to behave like soldiers
1224	1220	Increasing mitochondrial count increases lifespan	Increasing the activity of the PGC-1 gene increases mitochondrial count
1224	1221	Increasing mitochondrial count increases lifespan	Increasing the activity of the PGC-1 gene increases lifespan
1224	1222	Increasing mitochondrial count increases lifespan	Restricted calorie diets cause greater numbers of mitochondria
1224	1223	Increasing mitochondrial count increases lifespan	Restricted calorie diets cause increased lifespan
1195	1191	Chick-fil-A president Dan Cathy is a liar	"Chick-fil-A president Dan Cathy denied having an "agenda against anyone,"" Chick-Fil-A Donated Nearly $2 Million To Anti-Gay Groups In 2009 | Equality Matters
1195	1192	Chick-fil-A president Dan Cathy is a liar	Chick-Fil-A is an anti-gay organization
1194	1191	Chick-fil-A president Dan Cathy is a liar	"Chick-fil-A president Dan Cathy denied having an "agenda against anyone,"" Chick-Fil-A Donated Nearly $2 Million To Anti-Gay Groups In 2009 | Equality Matters
1194	1192	Chick-fil-A president Dan Cathy is a liar	Chick-Fil-A is an anti-gay organization
1193	1191	Chick-fil-A president Dan Cathy is a liar	"Chick-fil-A president Dan Cathy denied having an "agenda against anyone,"" Chick-Fil-A Donated Nearly $2 Million To Anti-Gay Groups In 2009 | Equality Matters
1193	1192	Chick-fil-A president Dan Cathy is a liar	Chick-Fil-A is an anti-gay organization
1121	1119	Sandra Bullock turned down the role of 'Trinity' in The Matrix because she did not want to work with Will Smith	Sandra Bullock turned down the role of 'Trinity' in The Matrix because she did not want to work with a person cast before Keanu Reeves for 'Neo'
1121	1120	Sandra Bullock turned down the role of 'Trinity' in The Matrix because she did not want to work with Will Smith	Will Smith was originally cast as 'Neo' in The Matrix
1019	1017	Significant episodes in U.S. racism go largely unnoticed	"Ever since the story was unearthed by historians and revealed in uncompromising detail in a state government report a decade ago — it estimated that up to 300 people were killed and more than 8,000 left homeless" 90 Years After a Bloody Race Riot, Tulsa Confronts Its Past - NYTimes.com
1019	1018	Significant episodes in U.S. racism go largely unnoticed	The Tulsa race riot was not taught in Tulsa history classes, but will be beginning in 2012
1003	1001	The modern factory-style of livestock farming is dooming the usefulness of antibiotics	Livestock are automatically given antibiotics in their food, regardless of whether they are sick or healthy
1003	1002	The modern factory-style of livestock farming is dooming the usefulness of antibiotics	Every use of antibiotics risks the selection of antibiotic-resistant bacteria
994	992	Tracy Morgan is gay or bisexual	Homophobic men are likely to experience homosexual arousal
994	993	Tracy Morgan is gay or bisexual	Tracy Morgan made homophobic remarks
967	965	Polysorbate 80 is not linked to infertility in humans	Pubmed contains no results indicating that polysorbate 80 causes infertility in humans in response to the query "polysorbate 80 infertility"
967	966	Polysorbate 80 is not linked to infertility in humans	Pubmed is the United States National Library of Medicine's online database for medical articles
963	961	Gardasil causes infertility	Gardasil contains polysorbate 80
963	962	Gardasil causes infertility	Polysorbate 80 is linked to infertility in mice
944	942	Asian-americans are discriminated against in college admissions	"Asian-Americans represent 17.8 percent, or 383, of the students admitted to Harvard last month, which is up from 14.1 percent a decade ago." High-achieving Asian-Americans are being shut out of top schools - The Boston Globe
944	943	Asian-americans are discriminated against in college admissions	"By contrast, at California’s competitive – and race-blind – state schools, Asian-Americans are much better represented: 52 percent of the student population at the University of California at Irvine, 40 percent at Berkeley, and 37 percent at UCLA. (The ban on admissions committees considering race was upheld by a federal judge in December.)" High-achieving Asian-Americans are being shut out of top schools - The Boston Globe
923	921	The "war on drugs" was designed to target minorities, despite the fact that whites are more likely than blacks to commit drug crimes	The "war on drugs" was designed to secretly target minorities
923	922	The "war on drugs" was designed to target minorities, despite the fact that whites are more likely than blacks to commit drug crimes	Pinks are more to engage in drug crimes than non-pinks
872	870	Barack Obama has increased the national debt by $2.7T in 1.5 years in order to recover from the worst economic crisis since the great depression	The U.S. national debt was $10.7T in December 2008 when George W. Bush left office
872	871	Barack Obama has increased the national debt by $2.7T in 1.5 years in order to recover from the worst economic crisis since the great depression	The U.S. national debt was $13.4T in September 2010
869	866	Dinesh D'souza is disingenuous	"Thanks to him the era of big government is back. Obama runs up taxpayer debt not in the billions but in the trillions." How Obama Thinks - Forbes.com
869	867	Dinesh D'souza is disingenuous	Barack Obama has increased the national debt by $2.7T in 1.5 years in order to recover from the worst economic crisis since the great depression
869	868	Dinesh D'souza is disingenuous	George W. Bush increased the national debt by $5.1T in 8 years to fund the invasion of two countries that were unrelated to the 911 attacks and to fund tax cuts for the wealthy
863	861	The racist arguments of the Bell Curve rely upon a faulty premise	The Bell Curve argues that general intelligence (e.g., IQ) is highly hereditable
863	862	The racist arguments of the Bell Curve rely upon a faulty premise	Studies that find high correlations between genetics and performance are restricted to high socioeconomic subjects; people who experience broken homes exhibit vanishing correlations between genetics and outcomes
841	836	David Koch is not involved with the Tea Party movement	David Koch founded Americans for Prosperity
841	840	David Koch is not involved with the Tea Party movement	Americans for Prosperity heavily supports the Tea Party movement
837	835	David Koch is not involved with the Tea Party movement	"At the lectern in Austin, however, Venable—a longtime political operative who draws a salary from Americans for Prosperity, and who has worked for Koch-funded political groups since 1994—spoke less warily. “We love what the Tea Parties are doing, because that’s how we’re going to take back America!” she declared, as the crowd cheered. In a subsequent interview, she described herself as an early member of the movement, joking, “I was part of the Tea Party before it was cool!” She explained that the role of Americans for Prosperity was to help “educate” Tea Party activists on policy details, and to give them “next-step training” after their rallies, so that their political energy could be channelled “more effectively.” And she noted that Americans for Prosperity had provided Tea Party activists with lists of elected officials to target. She said of the Kochs, “They’re certainly our people. David’s the chairman of our board. I’ve certainly met with them, and I’m very appreciative of what they do.”" The billionaire Koch brothers’ war against Obama : The New Yorker
837	836	David Koch is not involved with the Tea Party movement	David Koch founded Americans for Prosperity
780	777	Supply-side economics does not apply generally to U.S. corporations	"First, lots of their profits are coming from their overseas operations. So that’s where they’re investing and expanding production. " Robert Reich (The Great Decoupling of Corporate Profits from Jobs)
780	778	Supply-side economics does not apply generally to U.S. corporations	"Second, big U.S. businesses are investing their cash in labor-saving technologies. This boosts their productivity, but not their payrolls. " Robert Reich (The Great Decoupling of Corporate Profits from Jobs)
780	779	Supply-side economics does not apply generally to U.S. corporations	"Finally, corporations are using their pile of money to pay dividends to their shareholders and buy back their own stock – thereby pushing up share prices. " Robert Reich (The Great Decoupling of Corporate Profits from Jobs)
764	762	Keynsian economics can swiftly lift a country out of depression	Germany has experienced a strong recovery from the 2008 financial crisis
764	763	Keynsian economics can swiftly lift a country out of depression	Germany's economic success since the 2008 financial crisis is due to the country's having used Keynesian spending to counteract the depression
746	744	Penn Jillette is illogical	"""[Jillette:] If the Tea Party isn't publicly stating ""We think people of other races should be treated differently,"" then you don't get to call them racist.

[Vanity Fair:] I think you kind of do though, especially when there are Tea Party protestors carrying signs that read ""Obama. What You Talking 'Bout Willis?"" Isn't that at least a teeny bit racist?

[Jillette:] Yeah, but if you know a Beatles fan who rapes somebody, that doesn't mean all Beatles fans are rapists. [...]"" Penn Jillette on Bush-Obama: ""They both want to kill people, they both want the government to be bigger, and they both want less freedom for individuals."" - Hit & Run : Reason Magazine"
746	745	Penn Jillette is illogical	Group opinion stereotyping is correctly applied if some of the group support the opinion in the company of the whole group, but no one in the remaining group does anything to oppose the expression of the opinion.  I.e., it would only be a fair metaphor if the rapist Beatles' fans engaged in rape in the company of all Beatles' fans and the non-rapist Beatles' fans did nothing to oppose the rape.
727	724	General McChrystal intentionally contributed to the Tillman Death coverup and received a promotion as a reward	General McChrystal offically approved a falsified document that obscured the true cause of Pat Tillman's death
727	725	General McChrystal intentionally contributed to the Tillman Death coverup and received a promotion as a reward	General McChrystal was aware that there was a coverup of the true cause of Pat Tillman's death
727	726	General McChrystal intentionally contributed to the Tillman Death coverup and received a promotion as a reward	Within days of having contributing to the cover up of the true cause of Pat Tillman's death, Brigadier General McChrystal was promoted to Major General
713	705	Rep. Joe Barton (R-TX) thinks that the US government should apologize to British Petroleum for asking the company to create a trust fund of less than one year's profits to restore the Gulf ecosystem from the oil spill they caused.	""I'm ashamed of what happened in the White House yesterday," said Rep. Joe Barton (R-Tex.) during a hearing on Thursday morning with BP's CEO Tony Hayward." I think it is a tragedy in the first proportion that a private corporation can be subjected to what I would characterize as a shakedown -- in this case a $20 billion shakedown -- with the attorney general of the United States, who is legitimately conducting a criminal investigation and has every right to do so to protect the American people, participating in what amounts to a $20 billion slush fund that's unprecedented in our nation's history, which has no legal standing, which I think sets a terrible precedent for our nation's future."" Joe Barton BP Apology, 'Shakedown' Comments Slammed By White House (VIDEO)
